Season,Rule,Pokemon,併用率の高いポケモン,Rank_併用率の高いポケモン
1,Single,ヒトカゲ,デスバーン,1
1,Single,ヒトカゲ,セキタンザン,2
1,Single,ヒトカゲ,ウオノラゴン,3
1,Single,ヒトカゲ,パッチルドン,4
1,Single,ヒトカゲ,アーマーガア,5
1,Single,ヒトカゲ,ドリュウズ,6
1,Single,ヒトカゲ,ミミッキュ,7
1,Single,ヒトカゲ,ダイオウドウ,8
1,Single,ヒトカゲ,ドラパルト,9
1,Single,ヒトカゲ,ドラメシヤ,10
1,Single,リザード,カビゴン,1
1,Single,リザード,マタドガス,2
1,Single,リザード,フワライド,3
1,Single,リザード,ヤミラミ,4
1,Single,リザード,ミミッキュ,5
1,Single,リザード,ジャラランガ,6
1,Single,リザード,ドラパルト,7
1,Single,リザード,ルカリオ,8
1,Single,リザード,タイレーツ,9
1,Single,リザード,ラプラス,10
1,Single,リザードン,ドリュウズ,1
1,Single,リザードン,ミミッキュ,2
1,Single,リザードン,ドラパルト,3
1,Single,リザードン,ロトム,4
1,Single,リザードン,バンギラス,5
1,Single,リザードン,アーマーガア,6
1,Single,リザードン,サザンドラ,7
1,Single,リザードン,ギャラドス,8
1,Single,リザードン,オーロンゲ,9
1,Single,リザードン,ヒヒダルマ,10
1,Single,キャタピー,ディグダ,1
1,Single,キャタピー,トサキント,2
1,Single,キャタピー,トゲキッス,3
1,Single,キャタピー,バンギラス,4
1,Single,キャタピー,ロコン,5
1,Single,キャタピー,サザンドラ,6
1,Single,キャタピー,ピッピ,7
1,Single,キャタピー,サイホーン,8
1,Single,キャタピー,メタモン,9
1,Single,キャタピー,トゲピー,10
1,Single,トランセル,メタモン,1
1,Single,トランセル,ホシガリス,2
1,Single,トランセル,バチンウニ,3
1,Single,トランセル,ナマコブシ,4
1,Single,トランセル,ユキハミ,5
1,Single,トランセル,エルフーン,6
1,Single,トランセル,ヒヒダルマ,7
1,Single,トランセル,ヤクデ,8
1,Single,トランセル,ウリムー,9
1,Single,トランセル,イオルブ,10
1,Single,バタフリー,ドラパルト,1
1,Single,バタフリー,ドリュウズ,2
1,Single,バタフリー,ミミッキュ,3
1,Single,バタフリー,バンギラス,4
1,Single,バタフリー,トゲキッス,5
1,Single,バタフリー,オーロンゲ,6
1,Single,バタフリー,エルフーン,7
1,Single,バタフリー,アーマーガア,8
1,Single,バタフリー,ロトム,9
1,Single,バタフリー,ギャラドス,10
1,Single,ピカチュウ,リザードン,1
1,Single,ピカチュウ,ミミッキュ,2
1,Single,ピカチュウ,ドラパルト,3
1,Single,ピカチュウ,アーマーガア,4
1,Single,ピカチュウ,ラプラス,5
1,Single,ピカチュウ,バンギラス,6
1,Single,ピカチュウ,カビゴン,7
1,Single,ピカチュウ,ドリュウズ,8
1,Single,ピカチュウ,ギャラドス,9
1,Single,ピカチュウ,ニンフィア,10
1,Single,ライチュウ,ミミッキュ,1
1,Single,ライチュウ,アーマーガア,2
1,Single,ライチュウ,ドラパルト,3
1,Single,ライチュウ,ドリュウズ,4
1,Single,ライチュウ,リザードン,5
1,Single,ライチュウ,バンギラス,6
1,Single,ライチュウ,ギャラドス,7
1,Single,ライチュウ,トゲキッス,8
1,Single,ライチュウ,サザンドラ,9
1,Single,ライチュウ,ニンフィア,10
1,Single,ピッピ,ドラパルト,1
1,Single,ピッピ,バンギラス,2
1,Single,ピッピ,ギャラドス,3
1,Single,ピッピ,バタフリー,4
1,Single,ピッピ,アマージョ,5
1,Single,ピッピ,バンバドロ,6
1,Single,ピッピ,アーマーガア,7
1,Single,ピッピ,ダゲキ,8
1,Single,ピッピ,ピカチュウ,9
1,Single,ピッピ,オニシズクモ,10
1,Single,ピクシー,ドラパルト,1
1,Single,ピクシー,ドリュウズ,2
1,Single,ピクシー,アーマーガア,3
1,Single,ピクシー,バンギラス,4
1,Single,ピクシー,ギャラドス,5
1,Single,ピクシー,ロトム,6
1,Single,ピクシー,ミミッキュ,7
1,Single,ピクシー,オーロンゲ,8
1,Single,ピクシー,カビゴン,9
1,Single,ピクシー,サザンドラ,10
1,Single,ロコン,ミミッキュ,1
1,Single,ロコン,ドラパルト,2
1,Single,ロコン,ドリュウズ,3
1,Single,ロコン,ゴリランダー,4
1,Single,ロコン,アーマーガア,5
1,Single,ロコン,ピッピ,6
1,Single,ロコン,ディグダ,7
1,Single,ロコン,サイホーン,8
1,Single,ロコン,キャタピー,9
1,Single,ロコン,トサキント,10
1,Single,キュウコン,ドリュウズ,1
1,Single,キュウコン,ミミッキュ,2
1,Single,キュウコン,ドラパルト,3
1,Single,キュウコン,リザードン,4
1,Single,キュウコン,バンギラス,5
1,Single,キュウコン,アーマーガア,6
1,Single,キュウコン,ギャラドス,7
1,Single,キュウコン,オノノクス,8
1,Single,キュウコン,ニンフィア,9
1,Single,キュウコン,トゲキッス,10
1,Single,ナゾノクサ,オノノクス,1
1,Single,ナゾノクサ,カラマネロ,2
1,Single,ナゾノクサ,ポットデス,3
1,Single,ナゾノクサ,ヨワシ,4
1,Single,ナゾノクサ,ナットレイ,5
1,Single,ナゾノクサ,メタモン,6
1,Single,ナゾノクサ,セキタンザン,7
1,Single,ナゾノクサ,プルリル,8
1,Single,ナゾノクサ,ラフレシア,9
1,Single,ナゾノクサ,クサイハナ,10
1,Single,クサイハナ,ドラパルト,1
1,Single,クサイハナ,ドリュウズ,2
1,Single,クサイハナ,トゲキッス,3
1,Single,クサイハナ,ロトム,4
1,Single,クサイハナ,ミミッキュ,5
1,Single,クサイハナ,バンギラス,6
1,Single,クサイハナ,ギャラドス,7
1,Single,クサイハナ,ロトム,8
1,Single,クサイハナ,アイアント,9
1,Single,クサイハナ,パルシェン,10
1,Single,ラフレシア,ドラパルト,1
1,Single,ラフレシア,バンギラス,2
1,Single,ラフレシア,ドリュウズ,3
1,Single,ラフレシア,ギャラドス,4
1,Single,ラフレシア,ミミッキュ,5
1,Single,ラフレシア,ロトム,6
1,Single,ラフレシア,リザードン,7
1,Single,ラフレシア,ウインディ,8
1,Single,ラフレシア,ラプラス,9
1,Single,ラフレシア,カビゴン,10
1,Single,ディグダ,ドラパルト,1
1,Single,ディグダ,パルシェン,2
1,Single,ディグダ,エルフーン,3
1,Single,ディグダ,カビゴン,4
1,Single,ディグダ,ロトム,5
1,Single,ディグダ,ナマコブシ,6
1,Single,ディグダ,ダグトリオ,7
1,Single,ディグダ,バンギラス,8
1,Single,ディグダ,エースバーン,9
1,Single,ディグダ,ゴチルゼル,10
1,Single,ダグトリオ,ドラパルト,1
1,Single,ダグトリオ,ミミッキュ,2
1,Single,ダグトリオ,アーマーガア,3
1,Single,ダグトリオ,ギャラドス,4
1,Single,ダグトリオ,トゲキッス,5
1,Single,ダグトリオ,バンギラス,6
1,Single,ダグトリオ,ロトム,7
1,Single,ダグトリオ,リザードン,8
1,Single,ダグトリオ,オーロンゲ,9
1,Single,ダグトリオ,サザンドラ,10
1,Single,ニャース,ソーナンス,1
1,Single,ニャース,ミミッキュ,2
1,Single,ニャース,ヒドイデ,3
1,Single,ニャース,キテルグマ,4
1,Single,ニャース,ブリムオン,5
1,Single,ニャース,ヌイコグマ,6
1,Single,ニャース,ドリュウズ,1
1,Single,ニャース,アイアント,2
1,Single,ニャース,アーマーガア,3
1,Single,ニャース,クチート,4
1,Single,ニャース,キリキザン,5
1,Single,ニャース,ペロッパフ,6
1,Single,ニャース,トロッゴン,7
